Recency,Frequency,Monetary,T
341,2,5342.4,341
7,7,431501.0,372
98,4,82378.47,372
37,1,176075.12,37
310,1,48173.37,310
37,11,241567.46,310
221,1,4357.89,221
251,1,161522.49,251
221,1,37648.28,221
37,3,161617.98,341
37,1,366359.4,37
7,2,39673.670000000006,160
7,6,672864.29,341
68,3,306242.38,221
310,1,30437.8,310
7,13,688511.11,310
129,2,53756.56,251
7,4,215049.54,129
310,3,59638.3,310
7,1,25839.440000000002,7
68,4,417753.03,372
68,2,167307.32,68
98,3,115169.81,310
310,1,28312.37,310
37,1,66577.75,37
7,3,36360.4,98
341,2,164885.7,372
129,1,604145.45,129
98,3,105708.76000000001,190
37,5,283392.46,190
7,6,206368.76,129
190,6,222610.77,372
37,3,66557.46,129
341,2,28316.56,372
37,6,252667.99,341
98,1,66785.3,98
37,1,253598.89,37
98,4,178735.91,341
68,2,60148.57,221
37,15,427347.96,372
37,2,278068.09,160
68,1,204266.06,68
129,4,158016.72,282
310,1,17283.4,310
341,1,36552.16,341
68,2,13749.32,68
160,1,122187.79000000001,160
37,3,310029.79,190
68,5,186352.68,282
37,9,253373.33000000002,282
98,7,324698.54,190
310,3,61744.66,310
98,3,159888.55000000002,190
68,5,109854.74,341
221,3,55774.39,310
37,26,1944187.0,341
7,12,532728.74,372
129,1,108728.73,129
68,1,60791.87,68
37,5,120314.6,341
98,3,89740.0,341
7,9,299025.94,372
190,2,66385.45,190
98,1,101635.55,98
221,1,64423.78,221
37,5,105999.6,372
37,12,780310.63,282
37,4,219920.34,372
68,1,13697.39,68
37,18,541433.7,372
68,5,306154.57,190
7,7,1041010.62,372
98,4,152672.79,372
98,2,101148.54,282
98,1,37832.96,98
7,19,517110.85,341
37,2,272767.92,160
372,1,40781.32,372
7,1,21563.65,7
37,5,456209.69,190
37,1,9383.41,37
68,1,112599.03,68
251,1,66037.09,251
68,1,55133.65,68
37,4,445251.36,190
160,2,20098.899999999998,190
37,6,817653.44,341
37,3,42101.1,37
160,1,119409.38,160
68,2,82346.66,68
98,6,229091.6,310
68,4,382840.43,282
68,12,179996.08,251
98,2,87334.81,310
98,2,93725.56999999999,160
7,4,196093.01,310
68,7,247879.52,251
37,8,60952.03,310
7,3,111615.44,190
160,3,104308.31,341
7,49,1351390.04,372
37,13,927503.2,372
37,9,467491.63,190
37,30,1198462.21,372
68,1,82538.12,68
7,20,671115.8,372
37,9,799397.41,310
7,1,100444.79000000001,7
7,3,99937.72,37
37,4,390183.74,341
37,11,567524.67,372
37,13,198902.62,341
37,8,856352.98,341
37,3,116253.34,98
341,1,30462.03,341
7,10,630004.55,341
37,1,58867.68,37
68,2,45247.52,129
190,3,58920.39,221
37,13,214807.05,372
98,1,46060.87,98
37,3,55777.82,68
37,13,159061.43,341
341,2,432544.63,341
98,5,369357.34,310
341,1,984.6,341
37,4,43814.619999999995,37
310,1,4735.36,310
251,1,66333.0,251
160,4,56400.76,310
37,2,172952.53,37
310,1,33776.46,310
160,2,77315.62,341
68,2,64773.0,68
98,2,96874.05,129
282,1,108784.52,282
372,1,26832.8,372
98,2,63849.31,190
37,6,751369.44,190
7,5,340254.36,129
68,1,45401.06,68
98,6,455111.95,282
160,1,91236.31999999999,160
68,2,31564.38,68
7,13,257626.78,341
37,8,389618.3,341
7,3,165732.83,98
98,3,57273.36,341
37,8,241009.11,341
68,5,167080.12,341
37,1,37309.4,37
37,1,36965.63,37
129,1,145122.73,129
98,2,76617.2,190
7,5,655384.95,68
37,1,49731.35,37
37,5,644016.77,341
37,19,1123549.76,372
37,3,118408.69,282
37,2,57648.64,37
98,2,130607.94,282
68,3,177828.01,98
221,2,25398.379999999997,282
190,1,16300.9,190
98,1,138743.17,98
372,1,25556.19,372
37,2,43372.18,68
7,14,521494.22,341
68,2,346168.37,160
37,5,66441.35,372
7,2,50578.490000000005,7
310,3,57244.44,341
7,4,271122.07,160
310,1,68068.38,310
7,7,489463.93,221
282,1,51285.32,282
282,2,25933.36,310
98,2,56563.92,98
37,11,1236543.23,372
7,35,477301.68,251
68,2,71284.35,129
7,3,145601.35,68
251,1,61040.44,251
341,1,33392.73,341
37,6,207386.9,310
37,4,337343.36,372
37,4,298317.01,341
98,3,80314.2,98
251,1,48780.4,251
68,1,39834.61,68
251,2,44363.11,310
7,18,547510.4,372
7,18,327275.04,282
251,4,219493.55,372
37,2,32467.56,372
7,1,6867.8099999999995,7
68,1,21605.08,68
37,2,90281.64,160
190,3,150441.71,221
341,1,57861.55,341
98,2,35188.38,221
129,3,48952.35,221
37,11,343717.22000000003,341
68,2,64399.53,251
37,5,491017.15,282
37,9,341431.71,310
37,7,132408.76,310
37,11,154047.48,372
190,6,62897.55,341
68,1,28803.260000000002,68
37,1,11580.1,37
98,2,44911.65,282
372,1,12564.19,372
68,2,525145.58,68
98,3,136117.68,341
37,7,281371.79,129
68,1,166484.01,68
68,2,66564.72,98
37,6,410409.81,282
282,1,59353.61,282
7,4,277978.14,190
98,5,91167.76,310
37,1,125568.03,37
37,1,25677.49,37
37,13,257918.54,282
37,3,214184.98,221
7,23,1116093.1300000001,372
251,1,30729.21,251
282,1,42649.520000000004,282
129,2,123962.13,190
221,3,248436.17,341
37,13,788897.17,341
37,7,557073.51,160
7,4,129261.39,68
37,2,176365.88,68
68,1,61220.32,68
68,5,274962.28,310
98,2,251521.74,160
68,10,927869.78,341
37,1,89893.9,37
251,1,48390.54,251
37,3,123705.38,98
129,1,27135.84,129
37,3,130167.2,129
129,6,61789.61,341
129,1,81522.06,129
37,5,159959.89,341
7,2,109347.67,68
37,13,327642.59,372
160,1,51506.53,160
129,4,84790.27,372
7,1,60688.13,7
341,1,19062.5,341
341,2,143557.86,341
160,2,112462.02,310
37,5,85058.88,310
37,8,297451.81,251
