Recency,Frequency,Monetary,T,AvgBasketsize,TotalTransactions,Churned
341,2,5342.4,341,59.5,2,1
7,7,431501.0,372,46.76373626373626,7,0
98,4,82378.47,372,49.645161290322584,4,0
37,1,176075.12,37,47.04109589041096,1,0
310,1,48173.37,310,53.94117647058823,1,1
37,11,241567.46,310,52.72631578947368,11,0
221,1,4357.89,221,48.75,1,1
251,1,161522.49,251,55.172413793103445,1,1
221,1,37648.28,221,57.23076923076923,1,1
37,3,161617.98,341,50.30508474576271,3,0
37,1,366359.4,37,53.786259541984734,1,0
7,2,39673.670000000006,160,41.73684210526316,2,0
7,6,672864.29,341,51.476377952755904,6,0
68,3,306242.38,221,46.81395348837209,3,0
310,1,30437.8,310,59.1,1,1
7,13,688511.11,310,48.53649635036496,13,0
129,2,53756.56,251,58.34782608695652,2,0
7,4,215049.54,129,48.05882352941177,4,0
310,3,59638.3,310,45.47826086956522,3,1
7,1,25839.440000000002,7,53.45454545454545,1,0
68,4,417753.03,372,50.778443113772454,4,0
68,2,167307.32,68,52.492063492063494,2,0
98,3,115169.81,310,45.65384615384615,3,0
310,1,28312.37,310,52.214285714285715,1,1
37,1,66577.75,37,39.09090909090909,1,0
7,3,36360.4,98,45.388888888888886,3,0
341,2,164885.7,372,46.935064935064936,2,1
129,1,604145.45,129,51.51598173515982,1,0
98,3,105708.76000000001,190,46.80487804878049,3,0
37,5,283392.46,190,54.65714285714286,5,0
7,6,206368.76,129,51.30769230769231,6,0
190,6,222610.77,372,48.19,6,0
37,3,66557.46,129,57.3,3,0
341,2,28316.56,372,55.0,2,1
37,6,252667.99,341,54.53,6,0
98,1,66785.3,98,45.96875,1,0
37,1,253598.89,37,49.09,1,0
98,4,178735.91,341,50.75,4,0
68,2,60148.57,221,44.407407407407405,2,0
37,15,427347.96,372,49.465408805031444,15,0
37,2,278068.09,160,47.43650793650794,2,0
68,1,204266.06,68,45.8235294117647,1,0
129,4,158016.72,282,51.847457627118644,4,0
310,1,17283.4,310,60.8,1,1
341,1,36552.16,341,57.09090909090909,1,1
68,2,13749.32,68,34.166666666666664,2,0
160,1,122187.79000000001,160,49.148148148148145,1,0
37,3,310029.79,190,54.648148148148145,3,0
68,5,186352.68,282,48.064935064935064,5,0
37,9,253373.33000000002,282,47.150442477876105,9,0
98,7,324698.54,190,53.74561403508772,7,0
310,3,61744.66,310,53.964285714285715,3,1
98,3,159888.55000000002,190,47.77049180327869,3,0
68,5,109854.74,341,58.875,5,0
221,3,55774.39,310,55.388888888888886,3,1
37,26,1944187.0,341,50.059125964010285,26,0
7,12,532728.74,372,52.0,12,0
129,1,108728.73,129,57.76470588235294,1,0
68,1,60791.87,68,44.96551724137931,1,0
37,5,120314.6,341,47.15217391304348,5,0
98,3,89740.0,341,51.76923076923077,3,0
7,9,299025.94,372,45.817460317460316,9,0
190,2,66385.45,190,42.333333333333336,2,0
98,1,101635.55,98,49.55555555555556,1,0
221,1,64423.78,221,56.13333333333333,1,1
37,5,105999.6,372,56.714285714285715,5,0
37,12,780310.63,282,51.33,12,0
37,4,219920.34,372,43.402061855670105,4,0
68,1,13697.39,68,42.63636363636363,1,0
37,18,541433.7,372,45.708333333333336,18,0
68,5,306154.57,190,55.05555555555556,5,0
7,7,1041010.62,372,49.135714285714286,7,0
98,4,152672.79,372,54.888888888888886,4,0
98,2,101148.54,282,49.833333333333336,2,0
98,1,37832.96,98,55.5,1,0
7,19,517110.85,341,52.791044776119406,19,0
37,2,272767.92,160,53.683673469387756,2,0
372,1,40781.32,372,50.72727272727273,1,1
7,1,21563.65,7,39.0,1,0
37,5,456209.69,190,48.451977401129945,5,0
37,1,9383.41,37,41.25,1,0
68,1,112599.03,68,44.51724137931034,1,0
251,1,66037.09,251,53.65384615384615,1,1
68,1,55133.65,68,55.40909090909091,1,0
37,4,445251.36,190,45.659685863874344,4,0
160,2,20098.899999999998,190,48.75,2,0
37,6,817653.44,341,46.605633802816904,6,0
37,3,42101.1,37,49.08695652173913,3,0
